time,kommune_bydel_no,kommune_bydel_name,bydel_no,bydel_name,kommune_no,kommune_name,fylke_no,fylke_name,population,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02
04:00:00,3452,Vestre Slidre,NA,NA,3452,Vestre Slidre,34,Innlandet,2125,0,0,0,0,0,0,0,0
04:00:00,3453,Øystre Slidre,NA,NA,3453,Øystre Slidre,34,Innlandet,3229,0,0,0,0,0,0,0,0
04:00:00,3454,Vang,NA,NA,3454,Vang,34,Innlandet,1578,0,0,0,0,0,0,0,0
04:00:00,3801,Horten,NA,NA,3801,Horten,38,Vestfold og Telemark,27351,15,16,16,16,17,18,18,18
04:00:00,3802,Holmestrand,NA,NA,3802,Holmestrand,38,Vestfold og Telemark,24699,10,11,11,11,12,13,14,15
04:00:00,3803,Tønsberg,NA,NA,3803,Tønsberg,38,Vestfold og Telemark,56293,18,23,24,26,32,33,33,36
04:00:00,3804,Sandefjord,NA,NA,3804,Sandefjord,38,Vestfold og Telemark,63764,20,24,25,25,26,27,29,30
04:00:00,3805,Larvik,NA,NA,3805,Larvik,38,Vestfold og Telemark,47204,5,7,8,11,11,11,12,12
04:00:00,3806,Porsgrunn,NA,NA,3806,Porsgrunn,38,Vestfold og Telemark,36397,5,5,5,5,5,5,5,6
04:00:00,3807,Skien,NA,NA,3807,Skien,38,Vestfold og Telemark,54942,24,30,30,30,30,33,33,36
04:00:00,3808,Notodden,NA,NA,3808,Notodden,38,Vestfold og Telemark,13049,4,4,4,4,4,4,4,4
04:00:00,3811,Færder,NA,NA,3811,Færder,38,Vestfold og Telemark,26730,19,20,20,20,20,20,20,20
04:00:00,3812,Siljan,NA,NA,3812,Siljan,38,Vestfold og Telemark,2340,0,0,0,0,0,2,2,2
04:00:00,3813,Bamble,NA,NA,3813,Bamble,38,Vestfold og Telemark,14061,2,5,5,5,5,5,5,5
04:00:00,3814,Kragerø,NA,NA,3814,Kragerø,38,Vestfold og Telemark,10380,0,1,1,1,1,1,1,1
04:00:00,3815,Drangedal,NA,NA,3815,Drangedal,38,Vestfold og Telemark,4060,0,0,0,0,0,0,1,1
04:00:00,3816,Nome,NA,NA,3816,Nome,38,Vestfold og Telemark,6515,0,0,0,0,0,1,1,1
04:00:00,3817,Midt-Telemark,NA,NA,3817,Midt-Telemark,38,Vestfold og Telemark,10444,0,0,0,0,0,0,0,0
04:00:00,3818,Tinn,NA,NA,3818,Tinn,38,Vestfold og Telemark,5691,0,0,0,0,0,0,1,1
04:00:00,3819,Hjartdal,NA,NA,3819,Hjartdal,38,Vestfold og Telemark,1573,0,0,0,0,0,0,0,0
04:00:00,3820,Seljord,NA,NA,3820,Seljord,38,Vestfold og Telemark,2888,0,0,0,0,0,0,0,0
04:00:00,3821,Kviteseid,NA,NA,3821,Kviteseid,38,Vestfold og Telemark,2403,0,0,0,0,0,0,0,0
04:00:00,3822,Nissedal,NA,NA,3822,Nissedal,38,Vestfold og Telemark,1448,0,0,0,0,0,0,0,0
04:00:00,3823,Fyresdal,NA,NA,3823,Fyresdal,38,Vestfold og Telemark,1287,0,0,0,0,0,0,0,0
04:00:00,3824,Tokke,NA,NA,3824,Tokke,38,Vestfold og Telemark,2201,0,0,0,0,0,0,0,0
04:00:00,3825,Vinje,NA,NA,3825,Vinje,38,Vestfold og Telemark,3676,0,0,0,0,0,1,1,2
04:00:00,4201,Risør,NA,NA,4201,Risør,42,Agder,6809,0,0,0,0,0,0,0,0
04:00:00,4202,Grimstad,NA,NA,4202,Grimstad,42,Agder,23544,1,1,1,1,1,1,1,1
04:00:00,4203,Arendal,NA,NA,4203,Arendal,42,Agder,44999,16,18,19,19,19,20,21,22
04:00:00,4204,Kristiansand,NA,NA,4204,Kristiansand,42,Agder,111633,80,90,94,96,101,110,119,132
04:00:00,4205,Lindesnes,NA,NA,4205,Lindesnes,42,Agder,23046,4,6,7,7,7,7,9,9
04:00:00,4206,Farsund,NA,NA,4206,Farsund,42,Agder,9691,11,11,11,11,11,11,11,11
