date,date_time,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-03-26,2020-03-26T04:00:00Z,4211,Gjerstad,42,Agder,2428,0
2020-03-26,2020-03-26T04:00:00Z,4212,Vegårshei,42,Agder,2097,0
2020-03-26,2020-03-26T04:00:00Z,4213,Tvedestrand,42,Agder,6053,0
2020-03-26,2020-03-26T04:00:00Z,4214,Froland,42,Agder,5951,0
2020-03-26,2020-03-26T04:00:00Z,4215,Lillesand,42,Agder,11074,3
2020-03-26,2020-03-26T04:00:00Z,4216,Birkenes,42,Agder,5226,3
2020-03-26,2020-03-26T04:00:00Z,4217,Åmli,42,Agder,1836,1
2020-03-26,2020-03-26T04:00:00Z,4218,Iveland,42,Agder,1331,1
2020-03-26,2020-03-26T04:00:00Z,4219,Evje og Hornnes,42,Agder,3634,1
2020-03-26,2020-03-26T04:00:00Z,4220,Bygland,42,Agder,1162,2
2020-03-26,2020-03-26T04:00:00Z,4221,Valle,42,Agder,1164,0
2020-03-26,2020-03-26T04:00:00Z,4222,Bykle,42,Agder,965,3
2020-03-26,2020-03-26T04:00:00Z,4223,Vennesla,42,Agder,14774,1
2020-03-26,2020-03-26T04:00:00Z,4224,Åseral,42,Agder,932,0
2020-03-26,2020-03-26T04:00:00Z,4225,Lyngdal,42,Agder,10365,4
2020-03-26,2020-03-26T04:00:00Z,4226,Hægebostad,42,Agder,1680,1
2020-03-26,2020-03-26T04:00:00Z,4227,Kvinesdal,42,Agder,5987,1
2020-03-26,2020-03-26T04:00:00Z,4228,Sirdal,42,Agder,1822,0
2020-03-26,2020-03-26T04:00:00Z,4601,Bergen,46,Vestland,283929,231
2020-03-26,2020-03-26T04:00:00Z,4602,Kinn,46,Vestland,17207,4
2020-03-26,2020-03-26T04:00:00Z,4611,Etne,46,Vestland,4062,4
2020-03-26,2020-03-26T04:00:00Z,4612,Sveio,46,Vestland,5766,2
2020-03-26,2020-03-26T04:00:00Z,4613,Bømlo,46,Vestland,11957,2
2020-03-26,2020-03-26T04:00:00Z,4614,Stord,46,Vestland,18759,3
2020-03-26,2020-03-26T04:00:00Z,4615,Fitjar,46,Vestland,3189,2
2020-03-26,2020-03-26T04:00:00Z,4616,Tysnes,46,Vestland,2869,0
2020-03-26,2020-03-26T04:00:00Z,4617,Kvinnherad,46,Vestland,13071,2
2020-03-26,2020-03-26T04:00:00Z,4618,Ullensvang,46,Vestland,11048,0
2020-03-26,2020-03-26T04:00:00Z,4619,Eidfjord,46,Vestland,906,0
2020-03-26,2020-03-26T04:00:00Z,4620,Ulvik,46,Vestland,1080,1
2020-03-26,2020-03-26T04:00:00Z,4621,Voss,46,Vestland,15740,20
2020-03-26,2020-03-26T04:00:00Z,4622,Kvam,46,Vestland,8457,2
2020-03-26,2020-03-26T04:00:00Z,4623,Samnanger,46,Vestland,2485,0
2020-03-26,2020-03-26T04:00:00Z,4624,Bjørnafjorden,46,Vestland,24908,12
2020-03-26,2020-03-26T04:00:00Z,4625,Austevoll,46,Vestland,5236,2
2020-03-26,2020-03-26T04:00:00Z,4626,Øygarden,46,Vestland,38316,23
2020-03-26,2020-03-26T04:00:00Z,4627,Askøy,46,Vestland,29553,17
2020-03-26,2020-03-26T04:00:00Z,4628,Vaksdal,46,Vestland,3977,1
2020-03-26,2020-03-26T04:00:00Z,4629,Modalen,46,Vestland,388,0
2020-03-26,2020-03-26T04:00:00Z,4630,Osterøy,46,Vestland,8098,0
2020-03-26,2020-03-26T04:00:00Z,4631,Alver,46,Vestland,29224,9
2020-03-26,2020-03-26T04:00:00Z,4632,Austrheim,46,Vestland,2870,0
2020-03-26,2020-03-26T04:00:00Z,4633,Fedje,46,Vestland,548,0
2020-03-26,2020-03-26T04:00:00Z,4634,Masfjorden,46,Vestland,1691,0
2020-03-26,2020-03-26T04:00:00Z,4635,Gulen,46,Vestland,2297,0
