date,date_time,kommune_bydel_no,kommune_bydel_name,bydel_no,bydel_name,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-03-26,2020-03-26T04:00:00Z,3807,Skien,,,3807,Skien,38,Vestfold og Telemark,54942,24
2020-03-26,2020-03-26T04:00:00Z,3808,Notodden,,,3808,Notodden,38,Vestfold og Telemark,13049,4
2020-03-26,2020-03-26T04:00:00Z,3811,Færder,,,3811,Færder,38,Vestfold og Telemark,26730,19
2020-03-26,2020-03-26T04:00:00Z,3812,Siljan,,,3812,Siljan,38,Vestfold og Telemark,2340,0
2020-03-26,2020-03-26T04:00:00Z,3813,Bamble,,,3813,Bamble,38,Vestfold og Telemark,14061,2
2020-03-26,2020-03-26T04:00:00Z,3814,Kragerø,,,3814,Kragerø,38,Vestfold og Telemark,10380,0
2020-03-26,2020-03-26T04:00:00Z,3815,Drangedal,,,3815,Drangedal,38,Vestfold og Telemark,4060,0
2020-03-26,2020-03-26T04:00:00Z,3816,Nome,,,3816,Nome,38,Vestfold og Telemark,6515,0
2020-03-26,2020-03-26T04:00:00Z,3817,Midt-Telemark,,,3817,Midt-Telemark,38,Vestfold og Telemark,10444,0
2020-03-26,2020-03-26T04:00:00Z,3818,Tinn,,,3818,Tinn,38,Vestfold og Telemark,5691,0
2020-03-26,2020-03-26T04:00:00Z,3819,Hjartdal,,,3819,Hjartdal,38,Vestfold og Telemark,1573,0
2020-03-26,2020-03-26T04:00:00Z,3820,Seljord,,,3820,Seljord,38,Vestfold og Telemark,2888,0
2020-03-26,2020-03-26T04:00:00Z,3821,Kviteseid,,,3821,Kviteseid,38,Vestfold og Telemark,2403,0
2020-03-26,2020-03-26T04:00:00Z,3822,Nissedal,,,3822,Nissedal,38,Vestfold og Telemark,1448,0
2020-03-26,2020-03-26T04:00:00Z,3823,Fyresdal,,,3823,Fyresdal,38,Vestfold og Telemark,1287,0
2020-03-26,2020-03-26T04:00:00Z,3824,Tokke,,,3824,Tokke,38,Vestfold og Telemark,2201,0
2020-03-26,2020-03-26T04:00:00Z,3825,Vinje,,,3825,Vinje,38,Vestfold og Telemark,3676,0
2020-03-26,2020-03-26T04:00:00Z,4201,Risør,,,4201,Risør,42,Agder,6809,0
2020-03-26,2020-03-26T04:00:00Z,4202,Grimstad,,,4202,Grimstad,42,Agder,23544,1
2020-03-26,2020-03-26T04:00:00Z,4203,Arendal,,,4203,Arendal,42,Agder,44999,16
2020-03-26,2020-03-26T04:00:00Z,4204,Kristiansand,,,4204,Kristiansand,42,Agder,111633,80
2020-03-26,2020-03-26T04:00:00Z,4205,Lindesnes,,,4205,Lindesnes,42,Agder,23046,4
2020-03-26,2020-03-26T04:00:00Z,4206,Farsund,,,4206,Farsund,42,Agder,9691,11
