organisation_number,company_name,Kommune,Fylke,n_employees
813380862,HOUSE OF TRAVEL AS,Asker,Viken,1
813381192,ALERIS SYKEHUS HINNA PARK,Stavanger,Rogaland,9
813382342,H & M HENNES & MAURITZ AS AVD 876 MANDAL,Lindesnes,Agder,12
813388782,OSLO FRYSELAGER AS,Oslo,Oslo,2
813388812,CLINIQUE LOUISE AS,Oslo,Oslo,1
813395762,TØMRER SIMEN SKINMO AS,Larvik,Vestfold og Telemark,1
813410702,DYREKJEDEN AS,Oslo,Oslo,1
813414252,TERMORENS OFFSHORE SERVICE AS,Skien,Vestfold og Telemark,1
813420392,SUPER RADIO AS,Oslo,Oslo,2
813421372,BOUTIQUE HORISONT AS,Bergen,Vestland,7
813427702,FJELLIVET AS,Porsanger - Porsángu - Porsanki,Troms og Finnmark - Romsa ja Finnmárku,2
813443112,CHANGE OF SCANDINAVIA HAMAR,Hamar,Innlandet,5
813447282,GLENNE GÅRD AS,Nordre Follo,Viken,1
813447452,RØST COFFEE AS,Kristiansund,Møre og Romsdal,1
813447622,WEST MARIN AS,Ulstein,Møre og Romsdal,42
813464632,DESIGN HAIRCARE AS AVD RÅHOLT,Eidsvoll,Viken,7
813465582,BUA FLORØ AS,Kinn,Vestland,1
813467372,NORWEGIAN CABIN SERVICES NORWAY AS AVD STAVANGER LUFTHAVN SOLA,Sola,Rogaland,36
813473372,NYLAND GÅRD AS,Nord-Odal,Innlandet,1
813474492,MUSA SUGAIPOV,Fredrikstad,Viken,1
813475812,KOZERIET AS,Klepp,Rogaland,6
813476002,BOA EIENDOMSMEGLING OSLO VEST AS,Oslo,Oslo,7
813479842,ONLY STORES NORWAY AS AVD 6 ONLY KARL JOHAN,Oslo,Oslo,15
813481472,DEEPRO AS,Stavanger,Rogaland,1
813482142,TROMSØ BILUTLEIE LANGNES AS,Tromsø,Troms og Finnmark - Romsa ja Finnmárku,1
813491702,NORTH EXPERIENCE AS,Storfjord - Omasvuotna - Omasvuono,Troms og Finnmark - Romsa ja Finnmárku,2
813492172,TANNLEGE MARIANNE ERIKSSEN,Skien,Vestfold og Telemark,2
813492342,O. MATHISEN AS,Oslo,Oslo,1
813495082,HC ROLVSØY AS,Fredrikstad,Viken,12
813495392,KEY TRAFIKKSKOLE AS,Oslo,Oslo,1
813510022,AMODEIVISUAL AS,Kristiansand,Agder,3
813517302,KROGH ENTREPRENØR AS,Rødøy,Nordland,2
813526662,PBL MENTOR BEDRIFTSHELSETJENESTE AVD BERGEN,Bergen,Vestland,4
813530112,FOLLA TECH VESTBY AS,Vestby,Viken,12
813532662,AMAS PRODUKSJON LYD OG LYS AS,Bergen,Vestland,2
813538202,STUDIO 85 AS,Midt-Telemark,Vestfold og Telemark,1
813538512,SALSUS AS,Kongsvinger,Innlandet,12
813539012,FASHION OF INDIA,Oslo,Oslo,1
813544512,FJELL ELEKTRIKEREN AS,Oslo,Oslo,6
813549352,HER & HJEM SPISERI AS,Indre Østfold,Viken,1
